hhid,round,comment,s12q14,s12q15,s12q1,s12q1b,s12q2,s12q2b,s12q3,s12q4,s12q5,s12q6,s12q6b,s12q7,s12q8,s12q9,s12q9b,s12q10a,s12q10b,s12q11,s12q12,s12q12b,s12q13
13026,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,1,10,No,Unprotected well,,Yes
13026,3,0,Remained the same,,,,,,,,,,,,,Pan,,0,30,No,Protected well,,Yes
13026,4,0,Remained the same,,,,,,,,,,,,,Protected well,,0,30,No,Protected well,,Yes
13026,5,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,45,No,Unprotected well,,Yes
13026,6,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Public tap,,Yes
13028,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,0,40,No,Unprotected well,,Yes
13028,3,0,Remained the same,,,,,,,,,,,,,Protected well,,1,,No,Unprotected well,,No
13028,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,45,No,Unprotected well,,Yes
13028,5,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
13028,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,20,No,Unprotected well,,Yes
13029,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,0,40,No,Unprotected well,,Yes
13029,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
13029,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,No,Public tap,,Yes
13029,5,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Protected well,,Yes
13029,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,10,No,Unprotected well,,No
13030,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,1,20,No,Unprotected well,,Yes
13030,3,0,Remained the same,,,,,,,,,,,,,Protected well,,1,,No,Protected well,,Yes
13030,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,45,No,Unprotected well,,Yes
13030,5,0,Remained the same,,,,,,,,,,,,,Protected well,,1,,No,Protected well,,Yes
13030,6,0,Remained the same,,,,,,,,,,,,,Borehole,,1,,Yes,Borehole,,Yes
13031,6,0,,Remained the same,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Unprotected well,,1,,No,Unprotected well,,Yes
13033,6,0,,Remained the same,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Unprotected well,,0,40,No,Unprotected well,,Yes
13035,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,0,20,No,Unprotected well,,No
13035,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
13035,4,0,Remained the same,,,,,,,,,,,,,Borehole,,0,30,No,Borehole,,Yes
13035,5,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,Yes,Unprotected well,,Yes
13036,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,0,20,No,Unprotected well,,Yes
13036,3,0,Remained the same,,,,,,,,,,,,,Protected well,,0,30,No,Protected well,,Yes
13036,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,10,No,Borehole,,No
13036,5,0,Remained the same,,,,,,,,,,,,,Borehole,,0,30,No,Borehole,,Yes
13036,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,20,No,Unprotected well,,Yes
13038,4,0,,Remained the same,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,Yes,Covered pit latrine,Unprotected well,,0,30,No,Unprotected well,,Yes
13038,5,0,improved,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,0,30,Yes,Protected well,,Yes
13038,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,30,No,Unprotected well,,Yes
14001,1,,,,Mud/Dung,,Sand/Earth,,1,Traditional fire,Collected firewood,Battery torch,,No,,Public tap,,1,0,No,Public tap,,No
14001,3,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,No,Public tap,,No
